sourceid,mjdobs,mag,emag
VVV-2012-BLG-0245,55298.27979498,16.890339,0.16342989
VVV-2012-BLG-0245,55298.28011108,16.79028,0.14062251
VVV-2012-BLG-0245,55726.31761364,16.776552,0.17206375
VVV-2012-BLG-0245,55726.31806544,16.765026,0.1744032
VVV-2012-BLG-0245,55777.189896,16.88333,0.1246297
VVV-2012-BLG-0245,55781.1569907,16.727978,0.14676481
VVV-2012-BLG-0245,55781.15748624,16.455885,0.12545134
VVV-2012-BLG-0245,55791.08279638,16.829876,0.1442962
VVV-2012-BLG-0245,55791.08321362,16.655924,0.12920041
VVV-2012-BLG-0245,55807.08508863,16.909298,0.1508747
VVV-2012-BLG-0245,55823.05495092,16.782255,0.18362488
VVV-2012-BLG-0245,55823.05535736,16.857641,0.16590747
VVV-2012-BLG-0245,55994.36486452,16.570908,0.12394842
VVV-2012-BLG-0245,55994.36524077,16.910616,0.24664594
VVV-2012-BLG-0245,55995.3787809,16.778507,0.17288291
VVV-2012-BLG-0245,55995.37915614,16.74574,0.15384315
VVV-2012-BLG-0245,55996.35369766,16.778131,0.22472015
VVV-2012-BLG-0245,55999.36329093,16.95625,0.15803581
VVV-2012-BLG-0245,56006.30138107,16.924637,0.2460942
VVV-2012-BLG-0245,56006.30176055,16.898352,0.19174713
VVV-2012-BLG-0245,56010.37953506,16.699621,0.12537394
VVV-2012-BLG-0245,56014.30687963,16.928106,0.15964863
VVV-2012-BLG-0245,56016.27987158,16.893814,0.16780078
VVV-2012-BLG-0245,56016.280288,16.567825,0.14421642
VVV-2012-BLG-0245,56019.34246643,16.665884,0.14712884
VVV-2012-BLG-0245,56019.34294915,16.570414,0.150669
VVV-2012-BLG-0245,56019.38700875,16.939983,0.2101691
VVV-2012-BLG-0245,56019.38756088,16.71713,0.17194258
VVV-2012-BLG-0245,56047.40440467,16.704475,0.18794554
VVV-2012-BLG-0245,56047.40482539,16.666286,0.15119182
VVV-2012-BLG-0245,56065.40529325,16.367525,0.11276819
VVV-2012-BLG-0245,56065.40573901,16.325274,0.106303096
VVV-2012-BLG-0245,56075.30643001,16.072735,0.073754966
VVV-2012-BLG-0245,56075.30690854,16.011333,0.08098131
VVV-2012-BLG-0245,56078.29875736,16.027613,0.09899056
VVV-2012-BLG-0245,56078.29925339,15.9524765,0.09146097
VVV-2012-BLG-0245,56099.29756216,15.0609255,0.035870306
VVV-2012-BLG-0245,56099.2980074,15.077272,0.03964693
VVV-2012-BLG-0245,56107.07059581,13.424731,0.013521786
VVV-2012-BLG-0245,56107.07104151,13.409283,0.02030602
VVV-2012-BLG-0245,56124.12741719,15.801147,0.04636702
VVV-2012-BLG-0245,56130.09717701,16.02876,0.07306512
VVV-2012-BLG-0245,56130.0976176,16.081974,0.076020606
VVV-2012-BLG-0245,56144.21258717,16.608433,0.23244604
VVV-2012-BLG-0245,56144.21298242,16.52517,0.13776588
VVV-2012-BLG-0245,56147.01031887,16.51457,0.16865362
VVV-2012-BLG-0245,56147.01071892,16.485151,0.13909978
VVV-2012-BLG-0245,56150.01150746,16.53561,0.12964925
VVV-2012-BLG-0245,56150.01192505,16.457653,0.11299714
VVV-2012-BLG-0245,56152.04830018,16.406897,0.2670986
VVV-2012-BLG-0245,56153.05116198,16.55311,0.1294698
VVV-2012-BLG-0245,56153.05158214,16.416506,0.115611896
VVV-2012-BLG-0245,56156.0180543,16.503426,0.23547088
VVV-2012-BLG-0245,56167.99942604,16.540594,0.1616498
VVV-2012-BLG-0245,56167.99983764,16.56641,0.18931241
VVV-2012-BLG-0245,56168.08302213,16.749203,0.23689845
VVV-2012-BLG-0245,56170.03993421,16.810331,0.17557237
VVV-2012-BLG-0245,56170.04037899,16.509579,0.120466776
VVV-2012-BLG-0245,56180.00783809,16.838558,0.15405212
VVV-2012-BLG-0245,56180.00823572,17.013067,0.16683096
VVV-2012-BLG-0245,56195.07997539,16.821825,0.13549389
VVV-2012-BLG-0245,56195.08036111,16.783436,0.11838088
VVV-2012-BLG-0245,56216.02348761,16.856379,0.15072078
VVV-2012-BLG-0245,56216.02386314,16.79281,0.18991262
VVV-2012-BLG-0245,56348.39811501,16.869192,0.17191304
VVV-2012-BLG-0245,56348.39849781,16.750427,0.15277557
VVV-2012-BLG-0245,56498.16144729,16.5657,0.11690856
VVV-2012-BLG-0245,56508.16780042,16.799503,0.15931435
VVV-2012-BLG-0245,56508.16819147,16.94611,0.16220501
VVV-2012-BLG-0245,56525.01635395,16.508776,0.1416197
VVV-2012-BLG-0245,56525.01678776,16.593626,0.14492804
VVV-2012-BLG-0245,56526.03734538,16.541338,0.124307565
VVV-2012-BLG-0245,56527.12301387,16.833197,0.21126348
VVV-2012-BLG-0245,56527.12339728,16.744621,0.16615292
VVV-2012-BLG-0245,56533.00329144,16.784355,0.17987145
VVV-2012-BLG-0245,56533.04356379,16.921099,0.18428855
VVV-2012-BLG-0245,56533.04396964,16.631691,0.16365233
VVV-2012-BLG-0245,56538.10796684,16.744726,0.13152888
VVV-2012-BLG-0245,56538.10835195,16.634897,0.19929548
VVV-2012-BLG-0245,56539.08669886,16.689718,0.13226008
VVV-2012-BLG-0245,56539.087132,16.674198,0.22464038
VVV-2012-BLG-0245,56541.03281865,16.971334,0.16135916
VVV-2012-BLG-0245,56541.03323731,16.852268,0.222389
VVV-2012-BLG-0245,56542.02966892,16.840618,0.18326631
VVV-2012-BLG-0245,56545.04355959,16.642889,0.14441948
VVV-2012-BLG-0245,56545.04396033,16.6648,0.14510913
VVV-2012-BLG-0245,56558.01180438,16.74623,0.13176113
VVV-2012-BLG-0245,56558.0122278,16.592833,0.13131912
VVV-2012-BLG-0245,56570.01155462,16.830563,0.116157115
VVV-2012-BLG-0245,56580.99265977,16.86059,0.13923468
VVV-2012-BLG-0245,56580.99307669,16.607368,0.13571672
VVV-2012-BLG-0245,56585.00330657,16.78982,0.19846182
VVV-2012-BLG-0245,56585.00373266,16.629173,0.1347716
VVV-2012-BLG-0245,56813.21398084,16.699444,0.12124538
VVV-2012-BLG-0245,56813.21439796,16.79647,0.11532192
VVV-2012-BLG-0245,56816.21944785,16.70453,0.14912993
VVV-2012-BLG-0245,56816.21987708,16.744587,0.14962012
VVV-2012-BLG-0245,56830.18580673,16.793493,0.13381457
VVV-2012-BLG-0245,56830.18624413,16.593271,0.11289539
VVV-2012-BLG-0245,56832.14589206,16.901812,0.15949984
VVV-2012-BLG-0245,56832.14635448,16.830849,0.14249077
VVV-2012-BLG-0245,56842.22194799,16.87484,0.21641825
VVV-2012-BLG-0245,56842.22234933,16.617731,0.15252978
VVV-2012-BLG-0245,56851.25233633,16.951048,0.19048525
VVV-2012-BLG-0245,56851.25271193,17.036932,0.18688063
VVV-2012-BLG-0245,56852.12714591,16.745157,0.13727248
