sourceid,t0_16,t0_50,t0_84,tE_16,tE_2,tE_50,tE_84,tE_98,u0_16,u0_50,u0_84,ra,dec,fbl_16,fbl_50,fbl_84,m0_16,m0_50,m0_84
VVV-2012-BLG-0245,56106.579524,56106.895178,56107.22608099999,50.472295,43.402488,59.88254000000001,69.970999,84.777462,0.020818,0.02621,0.033020999999999995,271.068175196162,-19.3583880525488,0.474232,0.578901,0.727337,16.768828,16.784966,16.800996
VVV-2012-BLG-0255,56109.706523,56109.952315,56110.201653,52.845066,51.349397,54.571752,57.178526,61.521985,0.14511300000000002,0.15543900000000002,0.161947,269.00842616788503,-21.994011958631106,1.057193,1.135735,1.179878,16.648083,16.660659,16.67314
VVV-2014-BLG-0227,56856.064211,56856.9211,56857.828604,54.484612,53.03699,56.70218000000001,59.749578,63.764486,0.440971,0.489207,0.528697,271.562400346406,-24.4531951867799,0.873741,1.00613,1.119739,14.596988,14.598149,14.599325
VVV-2012-BLG-0615,56204.293309,56204.54199400001,56204.799057,99.462541,95.112568,103.963086,108.668314,114.06525,0.137252,0.147046,0.157683,265.106758949202,-24.761224575769702,0.370084,0.39779,0.428114,13.043464,13.045093,13.046735
VVV-2013-BLG-0460,56564.553863,56566.103103,56567.816278,145.683852,136.466078,155.148749,165.547862,178.252864,0.07808899999999999,0.084578,0.091552,269.930629858869,-25.4220515091819,0.544373,0.614939,0.69497,14.848759,14.852185,14.855662
VVV-2013-BLG-0324,56514.16720599999,56514.22855299999,56514.291225,172.013727,154.299514,190.745223,211.904933,241.48603,0.008662999999999999,0.009716,0.010891,267.687126146296,-26.8092714187102,0.569468,0.635795,0.71025,16.836145,16.851111,16.866739
VVV-2015-BLG-0149,57250.853518,57250.93106,57251.012592,124.971592,92.478006,174.83004,256.59753,394.511385,0.009938,0.014865,0.021403,269.72393954524,-27.899135131132496,0.02647,0.039424,0.056664,15.949301,15.955857,15.962308
VVV-2013-BLG-0114,56420.864663,56422.542047,56424.04582100001,78.82330300000002,71.58975799999997,88.356832,105.418504,138.033822,0.453936,0.665456,0.7987380000000001,265.63487220694697,-29.521991262371998,0.463677,0.781489,1.045313,14.938362,14.942038,14.945828
VVV-2012-BLG-0543,56182.868664,56183.627134,56184.401106,33.695904,32.416647999999995,35.335712,37.970694,42.319533,0.808113,0.900184,0.954955,263.755484429056,-30.0823797960782,0.818726,1.007372,1.134364,14.084952,14.087247,14.089563
VVV-2012-BLG-0570,56187.076817,56190.132534,56194.01097999999,30.173617,26.912353000000003,34.665821,41.947664,56.08486,0.928726,1.219054,1.425294,263.867058669542,-31.854269616652694,0.379991,0.683114,0.995482,13.964763,13.966731,13.968683
VVV-2013-BLG-0452,56561.555307,56561.853347,56562.170886,22.785748,22.019777,24.028422,26.167827,29.700064,0.323464,0.382942,0.422288,270.92475592698,-32.220249708309005,0.810559,0.999047,1.132674,14.032209,14.033651,14.035056
VVV-2013-BLG-0423,56549.91673200001,56550.40087899999,56550.924711,47.683264,45.098344,51.229914,57.334873,67.668749,0.196607,0.247942,0.281935,267.627338316036,-32.2718324036798,0.788001,0.990844,1.12904,16.337982,16.345749,16.353598
VVV-2012-BLG-0472,56160.672721,56161.418099,56162.155267,23.276132,21.571353,26.764012,34.031782,46.578423,0.684398,0.992817,1.221867,263.408239715337,-33.4860458789695,0.297692,0.601359,0.943791,12.837432,12.838934,12.84048
VVV-2012-BLG-0440,56154.704778,56154.760365,56154.815814,84.372321,81.5651,87.049131,89.900432,93.061841,0.095685,0.09982,0.104127,262.04328344887,-34.5807349714093,0.783305,0.817751,0.853564,14.960226,14.963053,14.96584
VVV-2012-BLG-0176,56082.922333,56088.974559,56095.010147,49.175118,41.480681,58.450974,74.787291,105.76946,0.839989,1.2098950000000002,1.484832,269.06327444111804,-34.67812677874419,0.262753,0.569687,0.938736,14.754455,14.757108,14.759886
VVV-2013-BLG-0370,56528.501737,56529.310197000006,56530.097497,48.603302,44.08844600000001,59.507211,81.6424,124.505955,0.350249,0.5453520000000001,0.728082,260.119135330671,-36.082625833150296,0.288679,0.548532,0.890222,14.969882,14.97257,14.975197
VVV-2013-DSC-0437,56554.208271,56554.962448,56555.77008,27.649623,25.813572,30.869617,36.220385,44.720971,0.596431,0.768989,0.914568,259.692823466726,-39.3839552624069,0.463858,0.717788,0.99765,13.98323,13.98519,13.987213
VVV-2015-DSC-0007,57047.40096900001,57059.433618,57072.291604,24.729515,18.779027,31.424685,38.853347,50.805262,0.247672,0.575764,0.933298,247.66728816222198,-45.678251593641605,0.335755,0.733133,1.046093,13.529798,13.530988,13.532175
VVV-2013-DSC-0136,56438.321242,56438.861059,56439.406564,46.885365,45.398012,49.198062,53.19285,59.593489,0.598812,0.6769229999999999,0.7245689999999999,234.593645441856,-56.400983375101006,0.820288,1.006428,1.134624,14.630197,14.632514,14.634848
VVV-2013-DSC-0135,56437.301613,56438.200088,56439.210549,59.519602,54.861037,70.918439,101.765837,174.384352,0.275686,0.471455,0.614681,225.747788720913,-60.3183438933434,0.30668,0.630352,0.951891,15.033901,15.038432,15.043017
VVV-2013-DSC-0541,56645.507488,56650.111904,56654.826511,251.434361,236.033207,269.814485,299.261024,348.1922370000001,0.869431,1.024752,1.127879,193.525910347892,-62.133993815126495,0.644831,0.886958,1.085851,13.697526,13.700414,13.703294
